Category,Component,Model,Quantity,Rating
"Power Stage","Bridge Rectifier","KBP310",1,"3A, 1000V"
"Power Stage","DC Bus Capacitor","470µF / 400V",1,"400V"
"Power Stage","Fuse","2A Slow-Blow",1,"2A"
"Gate Drive","Gate Driver IC","IR2110",3,"500V"
"Gate Drive","Bootstrap Capacitor","100µF / 25V",3,"25V"
"Gate Drive","Bootstrap Diode","UF5406",3,"3A, 600V"
"Gate Drive","Gate Resistor","22Ω",6,"1/4W"
"Gate Drive","Pull-down Resistor","10kΩ",6,"1/4W"
"Power Switch","IGBT","IRG4PH50UD",6,"1200V, 33A"
"Control","Microcontroller","Arduino Nano",1,"5V"
"Control","Potentiometer","10kΩ",1,"1/4W"
"Linear Supply","Transformer","12V AC",1,"1A"
"Linear Supply","Bridge Rectifier","KBP310",1,"3A"
"Linear Supply","Regulator","7812",1,"12V, 1A"
"Linear Supply","Regulator","7805",1,"5V, 1A"
"Linear Supply","Capacitor","1000µF / 25V",2,"25V"
"Linear Supply","Capacitor","0.1µF",2,"50V"